Country/Region,Population 2020
Afghanistan,38928341
Albania,2837743
Algeria,43851043
Andorra,77265
Angola,32866268
Antigua and Barbuda,97928
Argentina,45376763
Armenia,2963234
Australia,25687041
Austria,8917205
Azerbaijan,10110116
Bahamas,393248
Bahrain,1701583
Bangladesh,164689383
Barbados,287371
Belarus,9398861
Belgium,11555997
Belize,397621
Benin,12123198
Bhutan,771612
Bolivia,11673029
Bosnia and Herzegovina,3280815
Botswana,2351625
Brazil,212559409
Brunei,437483
Bulgaria,6927288
Burkina Faso,20903278
Burma,0
Burundi,11890781
Cabo Verde,0
Cambodia,16718971
Cameroon,26545864
Canada,38005238
Central African Republic,4829764
Chad,16425859
Chile,19116209
China,1402112000
Colombia,50882884
Comoros,869595
Congo (Brazzaville),5518092
Congo (Kinshasa),89561404
Costa Rica,5094114
Cote d'Ivoire,26378275
Croatia,4047200
Cuba,11326616
Cyprus,1207361
Czechia,10698896
Denmark,5831404
Diamond Princess,0
Djibouti,988002
Dominica,71991
Dominican Republic,10847904
Ecuador,17643060
Egypt,102334403
El Salvador,6486201
Equatorial Guinea,1402985
Eritrea,0
Estonia,1331057
Eswatini,1160164
Ethiopia,114963583
Fiji,896444
Finland,5530719
France,67391582
Gabon,2225728
Gambia,2416664
Georgia,3714000
Germany,83240525
Ghana,31072945
Greece,10715549
Grenada,112519
Guatemala,16858333
Guinea,13132792
Guinea-Bissau,1967998
Guyana,786559
Haiti,11402533
Holy See,0
Honduras,9904608
Hungary,9749763
Iceland,366425
India,1380004385
Indonesia,273523621
Iran,83992953
Iraq,40222503
Ireland,4994724
Israel,9216900
Italy,59554023
Jamaica,2961161
Japan,125836021
Jordan,10203140
Kazakhstan,18754440
Kenya,53771300
Kiribati,119446
"Korea, South",51780579
Kosovo,1775378
Kuwait,4270563
Kyrgyzstan,6591600
Laos,7275556
Latvia,1901548
Lebanon,6825442
Lesotho,2142252
Liberia,5057677
Libya,6871287
Liechtenstein,38137
Lithuania,2794700
Luxembourg,632275
MS Zaandam,0
Madagascar,27691019
Malawi,19129955
Malaysia,32365998
Maldives,540542
Mali,20250834
Malta,525285
Marshall Islands,59194
Mauritania,4649660
Mauritius,1265740
Mexico,128932753
Micronesia,115021
Moldova,2617820
Monaco,39244
Mongolia,3278292
Montenegro,621718
Morocco,36910558
Mozambique,31255435
Namibia,2540916
Nepal,29136808
Netherlands,17441139
New Zealand,5084300
Nicaragua,6624554
Niger,24206636
Nigeria,206139587
North Macedonia,2083380
Norway,5379475
Oman,5106622
Pakistan,220892331
Palau,18092
Panama,4314768
Papua New Guinea,8947027
Paraguay,7132530
Peru,32971846
Philippines,109581085
Poland,37950802
Portugal,10305564
Qatar,2881060
Romania,19286123
Russia,144104080
Rwanda,12952209
Saint Kitts and Nevis,53192
Saint Lucia,183629
Saint Vincent and the Grenadines,110947
Samoa,198410
San Marino,33938
Sao Tome and Principe,219161
Saudi Arabia,34813867
Senegal,16743930
Serbia,6908224
Seychelles,98462
Sierra Leone,7976985
Singapore,5685807
Slovakia,5458827
Slovenia,2100126
Solomon Islands,686878
Somalia,15893219
South Africa,59308690
South Sudan,11193729
Spain,47351567
Sri Lanka,21919000
Sudan,43849269
Summer Olympics 2020,0
Suriname,586634
Sweden,10353442
Switzerland,8636896
Syria,17500657
Taiwan*,0
Tajikistan,9537642
Tanzania,59734213
Thailand,69799978
Timor-Leste,1318442
Togo,8278737
Trinidad and Tobago,1399491
Tunisia,11818618
Turkey,84339067
US,329484123
Uganda,45741000
Ukraine,44134693
United Arab Emirates,9890400
United Kingdom,67215293
Uruguay,3473727
Uzbekistan,34232050
Vanuatu,307150
Venezuela,28435943
Vietnam,97338583
West Bank and Gaza,4803269
Yemen,29825968
Zambia,18383956
Zimbabwe,14862927
